item_no,colour,gender_description,brand,product_group,min_age,max_age
1725871687488125672,yellow,girls,mimi & lula,hair accessories,,
8450363997906035201,white,girls,adidas,trainers,0.875,5.0
6531891798551217230,orange,girls,1+ in the family,dresses,0.375,3.0
6994174013036042849,red,girls,isbjörn of sweden,coats and jackets,10.0,14.0
8688543129085964460,blue,boys,nadadelazos,swimwear and coverups,1.0,8.0
3912750858506499518,black,unisex,thule,strollers,,
-8628954110740958607,pink,girls,levis kids,tops,5.0,14.0
8329339925337996836,brown,girls,tartine et chocolat,coats and jackets,2.0,12.0
-1249511034327048841,yellow,unisex,tocoto vintage,tops,1.0,10.0
8401818681314909201,black,unisex,beau loves,tops,1.0,14.0
-6678094173875148938,pink,girls,catimini,coats and jackets,0.375,2.0
-5471635692608162429,red,boys,young soles,boots,1.0,6.0
8279027584987828972,brown,unisex,1+ in the family,headwear,0.375,2.0
5765193949212180695,yellow,unisex,nadadelazos,headwear,0.375,2.0
2626968057754063037,blue,unisex,tinycottons,underwear,0.375,0.875
-4431424320351430965,blue,unisex,egmont kärnan,board and parlor games,8.0,10.0
4635838916305250699,orange,girls,piupiuchick,swimwear and coverups,1.0,14.0
-8661180158077570853,grey,boys,barts,headwear,0.875,2.0
2070078225741915012,brown,girls,les coyotes de paris,jumpers and knitwear,7.0,14.0
172078388772745069,multi color,unisex,jellycat,reading,,
-466846562663486726,grey,unisex,cybex,car seats,,
1387862446967514025,black,unisex,mini a ture,bottoms,0.625,2.0
6584211259442582816,pink,girls,moncler,coats and jackets,0.625,3.0
-8566230666911114936,brown,boys,molo,fleeces and midlayers,4.0,14.0
7160299098955997763,multi color,unisex,tactic,board and parlor games,4.0,8.0
1770285218929940223,blue,unisex,timberland,trainers,4.0,14.0
8769790654196993126,grey,unisex,easygrow,stroller accessories,,
-3022853053891200589,navy,boys,joha,bottoms,0.625,10.0
3990220169707755399,navy,boys,minymo,jumpers and knitwear,1.0,8.0
223160300864032888,white,unisex,golden goose,trainers,2.0,14.0
8311242711991630328,multi color,unisex,stokke,stroller accessories,,
-6450108670214983137,pink,unisex,ng baby,textile,,
6665648769125869956,red,girls,chloé,dresses,0.625,3.0
342409811894928532,pink,unisex,a happy brand,bottoms,0.125,2.0
-564769826177219116,white,unisex,lundby,dolls and doll houses,4.0,10.0
5513420828549606448,brown,unisex,emu australia,boots,2.0,11.0
-4381785351974026220,cream,unisex,liewood,first toys and baby toys,,
-4232476847853508278,pink,girls,scotch & soda,coats and jackets,5.0,14.0
-4614007991271363565,pink,unisex,reima,fleeces and midlayers,1.0,5.0
2909818383685191291,multi color,unisex,jellycat,soft toys,,
5756768445394070698,brown,unisex,mainio,bottoms,1.0,10.0
4820715767422669524,white,girls,a monday in copenhagen,headwear,,
7760193122475294307,grey,unisex,filibabba,baby feeding,,
-5382771421186356654,black,boys,calvin klein,underwear,7.0,14.0
8016155106963691897,pink,girls,monnalisa,all in ones,0.375,2.0
-2989244461262971150,navy,unisex,reima,coveralls,0.625,3.0
6430931322573261076,black,girls,scotch & soda,tops,5.0,14.0
6561319085959868748,red,unisex,blafre,lunch boxes and containers,,
2465322136321325404,pink,boys,hype,bags,,
-797283422177998170,pink,girls,chloé,headwear,2.0,14.0
2345367076094563909,white,unisex,nofred,furniture,,
-6819170673258565740,green,unisex,mini a ture,fleeces and midlayers,1.0,8.0
-8693709054204758624,brown,unisex,condor,underwear,0.125,12.0
-4214729847540264977,white,unisex,búho,jumpers and knitwear,2.0,14.0
6468091249467315185,white,unisex,the animals observatory,tops,1.0,14.0
-2753753047096609536,blue,unisex,timberland,boots,0.875,2.0
-3546876742321308126,purple,girls,melton,underwear,0.375,6.0
-1651180563193258853,blue,unisex,the animals observatory,underwear,3.0,9.0
-2178513748495704440,brown,unisex,superfit,boots,3.0,10.0
3593932973178534993,blue,unisex,liewood,coats and jackets,3.0,8.0
7893524517381125056,navy,boys,reima,coveralls,0.625,3.0
-7350917476800234157,yellow,unisex,reima,baselayers,0.875,5.0
-2613331325404293459,blue,girls,molo,headwear,2.0,8.0
-8566895319055638720,pink,girls,kuling,fleeces and midlayers,0.125,3.0
-564286572707774864,white,girls,burberry,tops,1.0,2.0
-8996010756755929245,blue,boys,ralph lauren,all in ones,0.125,0.875
-5514082335698550432,green,unisex,done by deer,storage,,
3744339757703776058,blue,girls,mayoral,dresses,0.375,3.0
-9219186500892360862,pink,girls,hust&claire,bottoms,0.375,2.0
-4325442569945793938,pink,girls,ikks,jumpers and knitwear,0.375,4.0
-3224660633350467510,navy,unisex,didriksons,bottoms,0.875,10.0
8593121401897194526,green,unisex,liewood,tableware,,
-3792974678036078043,white,girls,the marc jacobs,shorts,1.0,14.0
780812284894574359,pink,girls,jacadi,headwear,1.0,12.0
-4756842022784487711,blue,girls,pepe jeans,tops,3.0,14.0
-7868436322630157578,pink,girls,louise misha,skirts,0.875,8.0
4371057451079793991,red,girls,bellerose,jumpers and knitwear,3.0,14.0
-3058192282597136218,beige,unisex,wheat,tops,3.0,10.0
-3362043363138829148,black,boys,adidas,trainers,4.0,14.0
-2684892800729854652,yellow,unisex,bobo choses,jumpers and knitwear,0.375,3.0
-2021680855132367250,white,girls,levis kids,bottoms,9.0,14.0
-4249569412521365355,white,unisex,mini rodini,underwear,0.125,8.0
-492276577483064962,pink,girls,hatley,hair accessories,,
1400096949761371198,red,girls,mayoral,clothing sets,0.375,3.0
7572120513369968511,pink,girls,how to kiss a frog,dresses,3.0,14.0
8666159899514175304,grey,unisex,stoy,first toys and baby toys,0.125,4.0
5510799877967501736,pink,unisex,kuling,coats and jackets,0.625,7.0
6699464487519659732,multi color,unisex,crea bella,stationary,,
-9139602394117956937,navy,girls,petit bateau,dresses,0.375,3.0
3357987368627217820,grey,boys,franklin & marshall,jumpers and knitwear,,
8701274491798142023,black,unisex,carriwell,maternity underwear,-1.0,-1.0
-834400026915851413,navy,unisex,camper,trainers,4.0,11.0
9151060698437540144,white,unisex,brio,toy figures & playsets,2.0,4.0
-21244232245842576,red,boys,mayoral,tops,1.0,9.0
230631348330549996,green,girls,mayoral,bottoms,0.375,3.0
457840847061068180,cream,unisex,maileg,soft toys,0.125,6.0
9200550791538377849,blue,unisex,crocs,sandals,0.625,8.0
909678734860730058,silver,girls,stella mccartney kids,dresses,1.0,14.0
4919872527880525875,blue,unisex,fub,jumpers and knitwear,1.0,9.0
3874182810598877190,cream,girls,bonpoint,baby feeding,,
5985145805353804774,red,unisex,le toy van,role play,2.0,6.0
-937426369901556134,pink,girls,kuling,swimwear and coverups,1.0,10.0
-7386045218242409382,yellow,unisex,maileg,soft toys,0.125,6.0
-8575723579797646151,green,unisex,celavi,bottoms,0.125,4.0
778976263878636068,blue,boys,ralph lauren,tops,1.0,14.0
-7602791004102161615,grey,girls,bonpoint,dresses,0.875,3.0
8782164215210681248,black,girls,burberry,jumpers and knitwear,3.0,14.0
-3638483930888443685,orange,girls,mp,underwear,0.375,7.0
8289872487804035763,blue,unisex,everyday baby,baby feeding,,
2667839778326655511,navy,boys,paul smith junior,tops,2.0,14.0
-8660723115140563798,black,unisex,sorel,bags,5.0,14.0
-4448162166388395858,green,girls,wynken,skirts,1.0,10.0
1105060891728068069,brown,unisex,little jalo,all in ones,0.125,2.0
-4350838262859325030,grey,unisex,bbhugme,breast feeding,,
-6139846645354653197,orange,boys,stella mccartney kids,tops,0.625,3.0
-8652074507362085823,blue,unisex,mam,baby feeding,,
5680918533952639485,red,girls,joha,tops,1.0,12.0
2698916434328583333,grey,unisex,bugaboo,stroller parts and customisati,,
280585122162890457,blue,unisex,reima,fleeces and midlayers,3.0,14.0
-6333191062562046680,brown,unisex,rice a/s,tableware,,
2165509606268429324,navy,boys,hummel,all in ones,,
-3243700004066666709,white,unisex,bonmot organic,coats and jackets,1.0,11.0
9185412334712155683,pink,unisex,the campamento,bottoms,1.0,12.0
2944323713418651688,green,unisex,lindberg,coveralls,0.875,4.0
-650494686572532043,pink,girls,yporqué,dresses,1.0,8.0
-1539808706313550671,navy,girls,bonpoint,dresses,3.0,10.0
3526798908064809614,white,girls,monnalisa,dresses,0.625,3.0
4303597197941668697,white,unisex,aden + anais,textile,,
-2662231217989410611,grey,boys,ellesse,coats and jackets,2.0,14.0
6467050072141422783,black,girls,paade mode,dresses,3.0,12.0
3773453538544781212,cream,unisex,wheat,bottoms,2.0,12.0
-2043024080526327720,blue,boys,molo,tops,3.0,14.0
7283164861090378263,navy,unisex,rubber duck,boots,2.0,14.0
-5100216505538855837,grey,boys,hatley,all in ones,0.125,2.0
7106734964933956848,blue,unisex,thule,baby safety,,
1828251087630827893,white,girls,levis kids,tops,1.0,14.0
2403953337324678254,pink,girls,hatley,boots,0.875,8.0
-8745569070866202486,brown,unisex,donsje amsterdam,headwear,0.875,6.0
3764961619090457412,white,girls,bonpoint,skirts,,
4251637826241331496,blue,girls,bonpoint,jumpers and knitwear,2.0,12.0
-8255482127511542632,black,boys,stella mccartney kids,coats and jackets,2.0,14.0
6828600928526932258,blue,girls,mini rodini,tops,1.0,11.0
274491643773711988,black,unisex,no.21,coats and jackets,3.0,14.0
-119076477821052457,red,girls,seafolly,bags,,
-9038019312104070986,blue,boys,jacadi,bottoms,0.375,3.0
-1742108739612954490,red,girls,gullkorn design,all in ones,0.125,2.0
494248865822579053,white,girls,ralph lauren,jumpers and knitwear,2.0,14.0
3472679063184252083,pink,girls,mini rodini,dresses,0.125,11.0
-880202974743163697,blue,boys,småfolk,all in ones,0.125,2.0
5031309734379101913,pink,girls,reebok,trainers,0.625,5.0
-753031336118407240,navy,unisex,moncler,coats and jackets,3.0,14.0
-2943256117505641069,pink,girls,le chic,dresses,2.0,14.0
4490220609376113987,blue,boys,jacadi,bottoms,0.375,3.0
-376550288189828810,white,boys,ebbe kids,tops,1.0,14.0
9163529499773109710,multi color,unisex,sylvanian families,dolls and doll houses,,
-8117950846402217273,pink,girls,adidas,trainers,4.0,14.0
-1167946416560075899,navy,boys,camper,trainers,0.875,4.0
3671206240801047066,brown,girls,wheat,headwear,1.0,12.0
6721319841439055628,navy,boys,molo,underwear,0.375,9.0
855351019875822112,brown,unisex,tfk,stroller parts and customisati,,
-7970920797188315142,pink,girls,hatley,coveralls,0.625,3.0
-4754383824826173522,grey,boys,il gufo,tops,1.0,8.0
2297123088294693596,blue,boys,burberry,bottoms,2.0,14.0
4275172036575213054,black,unisex,moschino kid-teen,jumpers and knitwear,3.0,14.0
-8140496071949821162,grey,unisex,fub,jumpers and knitwear,1.0,9.0
8087193780661646646,pink,girls,moschino kid-teen,headwear,0.125,2.0
8983732324710382085,beige,unisex,stoy,dolls and doll houses,2.0,6.0
6122321487742976089,pink,girls,mini rodini,all in ones,0.125,2.0
3769127370088033732,navy,boys,gant,tops,2.0,6.0
715967596779930213,pink,girls,nike,trainers,3.0,8.0
6816397692700312251,black,unisex,storksak,changing and travel bags,,
4632783588345501858,white,girls,the marc jacobs,jumpers and knitwear,1.0,14.0
-2686536018264435186,navy,girls,marni,shorts,3.0,14.0
-2758524436588130681,green,boys,boss,jumpers and knitwear,3.0,14.0
24793341897955732,pink,girls,buddy & hope,dresses,0.125,4.0
-7437034132529086641,cream,boys,petit bateau,all in ones,0.125,3.0
1411390082672070873,blue,boys,a denim story,bottoms,1.0,12.0
4161989156308518350,yellow,unisex,reima,coats and jackets,1.0,10.0
736079909803890392,grey,unisex,done by deer,tableware,,
-6884217296118526042,grey,girls,nike,dresses,5.0,14.0
8093439830245555288,green,unisex,thule,strollers,,
-214750617990291904,white,unisex,moncler,tops,3.0,14.0
-6952233971081058280,black,unisex,easygrow,stroller accessories,,
-5727580458780942022,multi color,unisex,bumprider,stroller accessories,,
-8494784600876097736,blue,unisex,kuling,bottoms,0.625,10.0
-6466657082838337642,black,unisex,kuling,coats and jackets,0.625,12.0
756811969025925426,blue,unisex,isbjörn of sweden,coveralls,0.875,8.0
-4216809215906794253,green,unisex,stoy,puzzles,1.0,6.0
-6646956737377903670,grey,boys,lego wear,headwear,0.125,0.125
-2392190591831891351,black,girls,stella mccartney kids,jumpers and knitwear,3.0,14.0
482248980083798492,beige,unisex,sylvanian families,dolls and doll houses,2.0,10.0
-5605489350405816023,pink,girls,mayoral,tops,0.375,3.0
8500060251429807247,grey,unisex,superfit,boots,3.0,10.0
1328505341657536244,white,girls,chloé,all in ones,0.125,0.375
-1090814889730635705,pink,unisex,easygrow,bedding,0.875,3.0
1947973648548198836,pink,girls,mini a ture,coats and jackets,0.625,2.0
-6706044721476309563,yellow,girls,hello simone,headwear,,
-1049452414192730214,purple,girls,wheat,bottoms,3.0,10.0
900380222319014596,black,unisex,fendi,boots,5.0,11.0
-9009633748420534596,brown,unisex,donsje amsterdam,sandals,2.0,6.0
-2510048350715114769,blue,girls,dinoski,all in ones,,
